iter	Accuracy	MultiClass
0	0.4875	1.093926616
1	0.534375	1.088810191
2	0.54375	1.084487502
3	0.5515625	1.079600033
4	0.553125	1.075387766
5	0.596875	1.07084072
6	0.6	1.066855707
7	0.5953125	1.063634919
8	0.5921875	1.060196472
9	0.5921875	1.056276999
10	0.59375	1.052948747
11	0.6	1.04896932
12	0.6203125	1.044736787
13	0.6203125	1.041465189
14	0.6203125	1.038191757
15	0.6140625	1.035682833
16	0.6171875	1.032507391
17	0.6234375	1.028814823
18	0.621875	1.026272774
19	0.625	1.022738605
20	0.628125	1.020020883
21	0.6328125	1.016580263
22	0.634375	1.013248417
23	0.6390625	1.010430677
24	0.6453125	1.007487357
25	0.6421875	1.004154096
26	0.640625	1.001271367
27	0.6484375	0.9982641617
28	0.6453125	0.9960725572
29	0.6375	0.9939075783
30	0.6625	0.9909328199
31	0.653125	0.988457662
32	0.653125	0.9863687762
33	0.65625	0.9842414056
34	0.6609375	0.9815554747
35	0.659375	0.9796216582
36	0.6640625	0.9776159263
37	0.665625	0.9757464654
38	0.6671875	0.9730208066
39	0.6703125	0.970506575
40	0.665625	0.9687115549
41	0.678125	0.9665699007
42	0.671875	0.9652429499
43	0.675	0.9631840582
44	0.675	0.9609622279
45	0.665625	0.9587648522
46	0.6703125	0.9570546269
47	0.66875	0.9542749533
48	0.66875	0.9517668144
49	0.6671875	0.9502702903
50	0.665625	0.9477832002
51	0.671875	0.9452477737
52	0.6765625	0.9436092901
53	0.6765625	0.9420571235
54	0.6703125	0.9404991341
55	0.675	0.9384866351
56	0.6796875	0.9368397452
57	0.6765625	0.9340477463
58	0.6859375	0.9310150405
59	0.684375	0.9291701371
60	0.6875	0.9274203936
61	0.6890625	0.9255851902
62	0.69375	0.9241984878
63	0.69375	0.922414362
64	0.6953125	0.9212910613
65	0.7	0.9200262436
66	0.696875	0.9181985967
67	0.696875	0.916669512
68	0.69375	0.9144728692
69	0.69375	0.9133030598
70	0.6953125	0.9112927983
71	0.696875	0.90962503
72	0.6953125	0.908017957
73	0.6953125	0.9069642177
74	0.6984375	0.9055354382
75	0.696875	0.9045460841
76	0.7046875	0.9017800908
77	0.7109375	0.9003001086
78	0.709375	0.8994939043
79	0.70625	0.8989316103
80	0.7078125	0.8974991009
81	0.709375	0.8957855087
82	0.7046875	0.8936553467
83	0.709375	0.8923676346
84	0.709375	0.8910839305
85	0.7109375	0.8899597086
86	0.7078125	0.8891534684
87	0.7078125	0.8883350349
88	0.7078125	0.8866564669
89	0.7109375	0.8855832769
90	0.709375	0.8848333829
91	0.7125	0.8836096569
92	0.709375	0.882817708
93	0.709375	0.8824554765
94	0.709375	0.881521016
95	0.7140625	0.8795474536
96	0.715625	0.8787187169
97	0.7125	0.8776368281
98	0.7140625	0.8754480421
99	0.7140625	0.8742193704
100	0.715625	0.8736034723
101	0.7171875	0.8723232594
102	0.7171875	0.8708058431
103	0.715625	0.8698002348
104	0.7125	0.8684690247
105	0.715625	0.8668492318
106	0.71875	0.8641086287
107	0.7203125	0.8631288637
108	0.7203125	0.8611072697
109	0.721875	0.8602348316
110	0.721875	0.8582556206
111	0.725	0.8571729204
112	0.7234375	0.8562108909
113	0.728125	0.8544602442
114	0.728125	0.8534564183
115	0.73125	0.8526932297
116	0.7328125	0.8517566842
117	0.728125	0.8508919549
118	0.728125	0.8501515704
119	0.7265625	0.8491459085
120	0.728125	0.8479952308
121	0.728125	0.8467884393
122	0.73125	0.8452355182
123	0.73125	0.8443014053
124	0.7375	0.8427224715
125	0.7359375	0.8418411428
126	0.7359375	0.8409775025
127	0.7359375	0.8393109673
128	0.7390625	0.8379852155
129	0.7421875	0.8364977275
130	0.740625	0.8353020385
131	0.74375	0.8339095385
132	0.7421875	0.8330102891
133	0.7453125	0.8317474353
134	0.746875	0.8305707706
135	0.7453125	0.8297696233
136	0.7484375	0.8288312107
137	0.75	0.8275431253
138	0.75	0.8269619085
139	0.7484375	0.825214278
140	0.753125	0.8240166688
141	0.7484375	0.8219471143
142	0.7484375	0.8207147262
143	0.746875	0.8204470501
144	0.7484375	0.8193169058
145	0.75	0.8184317817
146	0.75	0.8176665114
147	0.746875	0.8167758723
148	0.746875	0.8164655311
149	0.75	0.8154909757
150	0.7484375	0.8144240252
151	0.753125	0.8133032688
152	0.7484375	0.8123388912
153	0.7546875	0.811558161
154	0.75625	0.8101624095
155	0.7578125	0.8090825186
156	0.759375	0.8087627204
157	0.759375	0.8077310756
158	0.7609375	0.8067044334
159	0.759375	0.8051803165
160	0.7578125	0.8043395645
161	0.7578125	0.802790886
162	0.75625	0.8022280636
163	0.7578125	0.8010090426
164	0.759375	0.8001339141
165	0.7640625	0.798649972
166	0.7625	0.79780878
167	0.7625	0.796852269
168	0.7609375	0.7959804899
169	0.7640625	0.7945670933
170	0.7625	0.7934752698
171	0.7625	0.792166148
172	0.765625	0.7905971116
173	0.7671875	0.7894750657
174	0.771875	0.7884291234
175	0.778125	0.7867822421
176	0.778125	0.7860710155
177	0.784375	0.7852854454
178	0.784375	0.7849249222
179	0.7859375	0.7835209646
180	0.784375	0.7824636666
181	0.7890625	0.7805139778
182	0.7953125	0.7792397511
183	0.796875	0.7785282572
184	0.7953125	0.7777526467
185	0.796875	0.7761815243
186	0.8	0.7748189059
187	0.8015625	0.7736941072
188	0.8	0.7724866496
189	0.8	0.7720334335
190	0.8	0.77117407
191	0.803125	0.7693048062
192	0.8	0.7680270649
193	0.8015625	0.7666281091
194	0.8015625	0.7659690659
195	0.803125	0.7647622936
196	0.8046875	0.7635851062
197	0.809375	0.7623825964
198	0.809375	0.7618707878
199	0.8140625	0.7609290251
200	0.8171875	0.7591953033
201	0.8171875	0.7581313271
202	0.815625	0.7570770247
203	0.81875	0.7557819907
204	0.8234375	0.7547398841
205	0.821875	0.7539085388
206	0.825	0.7524681718
207	0.8296875	0.7512363895
208	0.83125	0.749774706
209	0.83125	0.7491311211
210	0.83125	0.7475639612
211	0.83125	0.7464727312
212	0.83125	0.7454658166
213	0.828125	0.7439396047
214	0.828125	0.7430089464
215	0.83125	0.741931214
216	0.8296875	0.7411209375
217	0.8328125	0.7405009812
218	0.834375	0.7396090609
219	0.8359375	0.7390141258
220	0.8359375	0.7382473783
221	0.8375	0.7375142018
222	0.8375	0.7364422698
223	0.8375	0.7356533506
224	0.8375	0.7343016585
225	0.8375	0.7332783792
226	0.8375	0.7326635949
227	0.8375	0.731765263
228	0.8375	0.7305979479
229	0.8390625	0.7295606907
230	0.8375	0.7289589018
231	0.840625	0.7280482289
232	0.840625	0.7276686395
233	0.840625	0.7266463899
234	0.8421875	0.7254823676
235	0.8421875	0.7244649979
236	0.840625	0.7238388358
237	0.840625	0.7226483213
238	0.8421875	0.7218976012
239	0.840625	0.7208564661
240	0.8421875	0.7202352521
241	0.8421875	0.719012336
242	0.8421875	0.7177342267
243	0.84375	0.7164238596
244	0.84375	0.7154791377
245	0.8453125	0.7144721548
246	0.84375	0.7136084375
247	0.846875	0.7126564909
248	0.846875	0.7115023863
249	0.8484375	0.7104846687
250	0.8484375	0.7097582891
251	0.846875	0.7085470722
252	0.8484375	0.707269606
253	0.8484375	0.706535145
254	0.8484375	0.7049838811
255	0.8484375	0.704124862
256	0.8484375	0.703489264
257	0.85	0.7028694331
258	0.85	0.7018146529
259	0.85	0.7002062842
260	0.85	0.6993361397
261	0.85	0.6983833548
262	0.8546875	0.6972411591
263	0.8578125	0.695724751
264	0.8578125	0.6945994794
265	0.859375	0.6936155618
266	0.8609375	0.6915531375
267	0.8609375	0.6905223208
268	0.8609375	0.689449532
269	0.8609375	0.6879710673
270	0.8609375	0.6875129853
271	0.859375	0.6867303958
272	0.8609375	0.6849966032
273	0.8625	0.6837405234
274	0.8640625	0.6829601771
275	0.8625	0.6817618456
276	0.8609375	0.6806937772
277	0.8640625	0.6793023885
278	0.8640625	0.678084352
279	0.86875	0.6769242407
280	0.871875	0.6755138514
281	0.8703125	0.6742410972
282	0.8734375	0.6732225831
283	0.86875	0.6726199543
284	0.8703125	0.6717704368
285	0.8703125	0.6704006959
286	0.86875	0.6698241858
287	0.86875	0.6693116598
288	0.86875	0.6683764562
289	0.8703125	0.6671514781
290	0.8703125	0.666877138
291	0.871875	0.6661553297
292	0.871875	0.6654719818
293	0.871875	0.6639060031
294	0.871875	0.6631750872
295	0.8703125	0.6624458321
296	0.871875	0.6615279906
297	0.871875	0.6605442672
298	0.8703125	0.6596000248
299	0.8703125	0.6582450472
300	0.875	0.6573160562
301	0.875	0.6564547055
302	0.8765625	0.655338493
303	0.878125	0.653754258
304	0.878125	0.6524835455
305	0.8796875	0.6516833263
306	0.8796875	0.6505091813
307	0.878125	0.6498229853
308	0.878125	0.6490754408
309	0.8796875	0.6481080617
310	0.878125	0.6467978493
311	0.8828125	0.6456731966
312	0.88125	0.6449380011
313	0.8828125	0.6435162705
314	0.8796875	0.6424327589
315	0.88125	0.6416488364
316	0.88125	0.6405380626
317	0.8890625	0.6396404341
318	0.8859375	0.6384132295
319	0.8875	0.6376019081
320	0.8859375	0.6368446985
321	0.8875	0.6354972726
322	0.8921875	0.634780499
323	0.890625	0.6341293829
324	0.890625	0.6337944132
325	0.8921875	0.6327329546
326	0.89375	0.6311218766
327	0.89375	0.6303470934
328	0.896875	0.629914191
329	0.896875	0.6291344974
330	0.8984375	0.628287077
331	0.8984375	0.6274584534
332	0.8984375	0.6270373147
333	0.9015625	0.6265667801
334	0.8984375	0.6252356092
335	0.8984375	0.6244248845
336	0.8984375	0.623213224
337	0.9	0.6224515279
338	0.9015625	0.6217927704
339	0.9015625	0.6212457696
340	0.8984375	0.6200142383
341	0.9015625	0.6190239667
342	0.903125	0.618205428
343	0.9046875	0.6175585646
344	0.9046875	0.6165784806
345	0.90625	0.6152881918
346	0.90625	0.6144629862
347	0.9046875	0.6140564428
348	0.9046875	0.6133166182
349	0.9046875	0.6126002496
350	0.909375	0.611636905
351	0.909375	0.6109584946
352	0.9109375	0.6099780666
353	0.909375	0.6089884285
354	0.909375	0.6084417003
355	0.9125	0.6077584616
356	0.9140625	0.6066673504
357	0.9171875	0.6058074957
358	0.915625	0.6048634689
359	0.9140625	0.6043895569
360	0.915625	0.6032137441
361	0.915625	0.6020194163
362	0.9171875	0.6014947012
363	0.91875	0.6006342135
364	0.91875	0.600142736
365	0.9203125	0.599210084
366	0.9203125	0.5988339854
367	0.9203125	0.5978322921
368	0.9203125	0.5970352237
369	0.9203125	0.5963002251
370	0.9203125	0.5955808117
371	0.9203125	0.5947434545
372	0.9203125	0.5937454978
373	0.921875	0.5929527998
374	0.921875	0.5920669335
375	0.921875	0.5914515301
376	0.921875	0.5907660431
377	0.921875	0.5899281978
378	0.9234375	0.5894802309
379	0.9234375	0.5884494249
380	0.9234375	0.5877353052
381	0.9234375	0.5866578514
382	0.925	0.5858583454
383	0.9265625	0.5851447782
384	0.9265625	0.5845714762
385	0.9265625	0.5840366566
386	0.925	0.5831229127
387	0.9265625	0.5819443191
388	0.925	0.5807760592
389	0.9265625	0.5801272986
390	0.9265625	0.5796335734
391	0.9265625	0.5789735767
392	0.9265625	0.5780930313
393	0.9265625	0.577624632
394	0.9265625	0.5768321919
395	0.9265625	0.5759055021
396	0.928125	0.5751122865
397	0.9296875	0.5746424712
398	0.9296875	0.5740294681
399	0.9296875	0.5733785994
400	0.93125	0.5720985496
401	0.93125	0.5710884522
402	0.93125	0.5699988314
403	0.93125	0.5694229137
404	0.93125	0.5689303128
405	0.9296875	0.5679454822
406	0.93125	0.5672113071
407	0.9328125	0.5666405725
408	0.9328125	0.5659171386
409	0.9328125	0.5650466841
410	0.9328125	0.5643092918
411	0.934375	0.5635192466
412	0.934375	0.5624790605
413	0.9328125	0.5616939226
414	0.934375	0.5612291611
415	0.934375	0.5604111432
416	0.9328125	0.5598582474
417	0.9375	0.5590333053
418	0.9375	0.5579283688
419	0.9375	0.5569969308
420	0.9375	0.5560939777
421	0.9375	0.5555350985
422	0.9375	0.5544068603
423	0.9390625	0.5533628433
424	0.9421875	0.5527451383
425	0.9421875	0.5523113745
426	0.9421875	0.5518758114
427	0.9421875	0.5509257243
428	0.9421875	0.5502691525
429	0.9421875	0.5491951246
430	0.9421875	0.5482647977
431	0.9421875	0.547355517
432	0.9421875	0.5467299029
433	0.9390625	0.5459705772
434	0.940625	0.5450721066
435	0.9421875	0.544002304
436	0.9421875	0.5432236976
437	0.9421875	0.5424036031
438	0.94375	0.5417123088
439	0.94375	0.541083106
440	0.9421875	0.5401300193
441	0.9421875	0.5393949053
442	0.9421875	0.5388896833
443	0.94375	0.5380837023
