iter	Accuracy	MultiClass
0	0.47375	1.087262443
1	0.50125	1.076157203
2	0.52	1.066867978
3	0.51875	1.057396208
4	0.55	1.048846153
5	0.5575	1.038346391
6	0.56	1.030339677
7	0.58875	1.022416654
8	0.6075	1.015201816
9	0.61625	1.009569611
10	0.6175	1.00244697
11	0.61375	0.9965556292
12	0.6175	0.990455379
13	0.61875	0.985797024
14	0.62625	0.9801484547
15	0.62875	0.9748687146
16	0.62375	0.9706561683
17	0.6325	0.9647421618
18	0.63375	0.9604776912
19	0.64	0.9557487031
20	0.64	0.9520356102
21	0.64375	0.9481606221
22	0.64125	0.944890959
23	0.65	0.9411002084
24	0.65	0.9367097415
25	0.6475	0.9322078753
26	0.65375	0.9289639512
27	0.66	0.9252594424
28	0.6575	0.9222657874
29	0.65625	0.9195358919
30	0.665	0.9163723275
31	0.66125	0.9134613585
32	0.67	0.9115663001
33	0.67125	0.9077758317
34	0.665	0.9047185689
35	0.67125	0.9011712013
36	0.6725	0.8986839762
37	0.6725	0.8966710287
38	0.67625	0.893790502
39	0.67625	0.8925536923
40	0.675	0.8894980442
41	0.68125	0.8873668855
42	0.67875	0.8840346925
43	0.68625	0.8805422745
44	0.69125	0.8768325311
45	0.695	0.8733270802
46	0.695	0.8720011945
47	0.695	0.8687391042
48	0.69875	0.867055937
49	0.6975	0.8640961572
50	0.69875	0.8611891399
51	0.71	0.8573172727
52	0.7125	0.8544082589
53	0.71	0.8527366159
54	0.7125	0.8513197327
55	0.71875	0.8483452349
56	0.72	0.8451462147
57	0.72625	0.8415744242
58	0.7225	0.8395320228
59	0.725	0.8361650582
60	0.72375	0.8334322335
61	0.7275	0.8306028634
62	0.725	0.8283455435
63	0.73	0.8262435494
64	0.735	0.8217462168
65	0.7375	0.8193922803
66	0.7375	0.8165981421
67	0.74	0.8141828511
68	0.745	0.8119694626
69	0.7475	0.8096391517
70	0.75125	0.8054368554
71	0.7575	0.8035076652
72	0.755	0.8001312544
73	0.7575	0.7976970752
74	0.755	0.7947001277
75	0.76125	0.7914711674
76	0.76375	0.7888818824
77	0.76125	0.7866538946
78	0.77	0.7839713599
79	0.7725	0.7816266607
80	0.77375	0.7799751222
81	0.77875	0.777281559
82	0.78	0.7749345197
83	0.77625	0.7711856621
84	0.77875	0.768966853
85	0.7825	0.7666883616
86	0.78	0.7647774695
87	0.78375	0.7630489358
88	0.78375	0.7614763767
89	0.78375	0.7598538345
90	0.79	0.7578064839
91	0.78625	0.7553575887
92	0.79	0.7538430309
93	0.79125	0.7523295616
94	0.78625	0.7508453927
95	0.795	0.7489252461
96	0.79625	0.7477311892
97	0.7925	0.7450706111
98	0.79375	0.7426021406
99	0.79875	0.7410927907
100	0.80625	0.7392355184
101	0.8075	0.736481486
102	0.8125	0.7345397661
103	0.82	0.7319792116
104	0.82	0.7304231802
105	0.82	0.7289676863
106	0.81875	0.7274007843
107	0.82125	0.7254523624
108	0.81875	0.7236515626
109	0.8275	0.7198579487
110	0.83375	0.7179925722
111	0.82875	0.7165643753
112	0.83125	0.7145639313
113	0.825	0.7119246534
114	0.82625	0.7109350653
115	0.83	0.7085255267
116	0.835	0.7066239537
117	0.83625	0.7037969305
118	0.83875	0.7006513945
119	0.8425	0.6972378817
120	0.84125	0.6945376316
121	0.84375	0.6912702784
122	0.84375	0.6891438646
123	0.84875	0.6867415957
124	0.85125	0.6843771515
125	0.85375	0.6826971778
126	0.855	0.680780295
127	0.8575	0.6793799901
128	0.85375	0.6775215897
129	0.85625	0.6749197551
130	0.8575	0.6727023489
131	0.85625	0.6706605376
132	0.8525	0.6684709985
133	0.8575	0.6669944579
134	0.8575	0.6652015922
135	0.85875	0.6635093411
136	0.85875	0.6615384192
137	0.86375	0.6598390175
138	0.8675	0.6569639905
139	0.865	0.6549249191
140	0.865	0.6536114194
141	0.87	0.6524269046
142	0.8725	0.6507858601
143	0.87375	0.6491600216
144	0.8725	0.6461918279
145	0.875	0.6441703828
146	0.8725	0.6424285071
147	0.875	0.6404855735
148	0.8775	0.6381449473
149	0.87875	0.6357055474
150	0.8825	0.6346615631
151	0.88125	0.6324567683
152	0.885	0.6314741155
153	0.88375	0.6274811258
154	0.8875	0.6259287084
155	0.8875	0.6244310125
156	0.885	0.6224070621
157	0.88875	0.6207063589
158	0.88875	0.6187958728
159	0.89	0.6164743512
160	0.89	0.6141147643
161	0.89125	0.6113436124
162	0.89375	0.6091675134
163	0.895	0.607950295
164	0.895	0.6070359645
165	0.89625	0.6054239075
166	0.895	0.6040877754
167	0.9025	0.6021720818
168	0.9025	0.6000934506
169	0.9025	0.5989813384
170	0.9025	0.5971095987
171	0.91	0.59485244
172	0.90875	0.5928440553
173	0.91125	0.5906089832
174	0.91375	0.5893405459
175	0.91375	0.5876620994
176	0.91375	0.5858435514
177	0.91625	0.5837352862
178	0.915	0.5820362248
179	0.91625	0.5799064028
180	0.92	0.5782067618
181	0.92125	0.5762206349
182	0.92375	0.5741721861
183	0.92625	0.5717456501
184	0.925	0.5695720905
185	0.92625	0.5679732281
186	0.925	0.5658125538
187	0.9275	0.5646982298
188	0.92625	0.5630738872
189	0.92375	0.5610818974
190	0.92625	0.5598864835
191	0.92875	0.5584258781
192	0.93	0.5564830243
193	0.93125	0.5548369563
194	0.9325	0.5533756937
195	0.935	0.5522480696
196	0.93375	0.5513437244
197	0.93625	0.5495960215
198	0.93625	0.5479729018
199	0.9375	0.5473233629
200	0.93875	0.5461385742
201	0.9375	0.5446561718
202	0.9375	0.5432615654
203	0.94125	0.5422873263
204	0.94	0.5412369797
205	0.94125	0.5390301241
206	0.94125	0.5365834274
207	0.94	0.5360602178
208	0.9425	0.5341684356
209	0.94375	0.5335562631
210	0.94375	0.5328676715
211	0.94375	0.5315212212
212	0.94625	0.5296128222
213	0.94625	0.5287883888
214	0.94625	0.5277931923
215	0.94375	0.5270822588
216	0.9425	0.525459319
217	0.945	0.5239923732
218	0.945	0.5221550256
219	0.94375	0.5207140305
220	0.94375	0.5197666324
221	0.945	0.5185078546
222	0.945	0.5178185012
223	0.945	0.5161487115
224	0.94625	0.5147405165
225	0.94625	0.5132660916
226	0.94375	0.5119205521
227	0.94375	0.5106288099
228	0.945	0.5094124867
229	0.9475	0.5082290745
230	0.945	0.5074305112
231	0.9475	0.5067735927
232	0.9475	0.5058652844
233	0.9475	0.5048209946
234	0.94875	0.5030228833
235	0.9475	0.5022700255
236	0.9475	0.5009682436
237	0.94875	0.4995206718
238	0.94875	0.4979895968
239	0.95	0.4970481839
240	0.9525	0.4951525296
241	0.9525	0.4936578935
242	0.955	0.4923079155
243	0.95625	0.4908702621
244	0.95625	0.4897189565
245	0.95625	0.4883415231
246	0.9575	0.4869846446
247	0.95625	0.4856744693
248	0.95625	0.4839443056
249	0.95875	0.4824001419
250	0.95875	0.4805776162
251	0.95875	0.4793126402
252	0.95875	0.478175971
253	0.95875	0.4774672905
254	0.95875	0.4763457932
255	0.9575	0.4749155909
256	0.95875	0.4734357992
257	0.95875	0.4726983468
258	0.9575	0.4716906302
259	0.9575	0.4703989426
260	0.95875	0.4688962323
261	0.95875	0.4675473511
262	0.9625	0.4655398034
263	0.96125	0.4646436314
264	0.9625	0.4634033708
265	0.9625	0.4618018752
266	0.9625	0.4609102647
267	0.9625	0.4596005661
268	0.96625	0.4588435808
269	0.96625	0.4571362203
270	0.96625	0.4557951608
271	0.96625	0.4539434517
272	0.965	0.4525168268
273	0.965	0.4511279167
274	0.96625	0.4500737246
275	0.965	0.4496636634
276	0.965	0.448042558
