iter	Passed	Remaining
0	2	2871
1	5	2619
2	7	2356
3	8	2233
4	10	2130
5	12	2089
6	14	2085
7	16	2064
8	18	2076
9	20	2049
10	22	2033
11	24	2027
12	26	2015
13	28	2021
14	30	2023
15	33	2034
16	34	2016
17	36	1996
18	38	1975
19	39	1958
20	41	1942
21	43	1934
22	45	1933
23	47	1927
24	49	1930
25	51	1933
26	53	1933
27	55	1934
28	57	1936
29	59	1938
30	62	1939
31	64	1942
32	66	1938
33	68	1939
34	70	1932
35	72	1931
36	73	1922
37	75	1915
38	78	1925
39	80	1922
40	82	1928
41	84	1927
42	86	1932
43	88	1933
44	90	1930
45	93	1933
46	95	1935
47	97	1937
48	99	1936
49	101	1932
50	103	1930
51	105	1924
52	107	1927
53	110	1927
54	112	1926
55	114	1922
56	116	1920
57	118	1918
58	120	1918
59	122	1915
60	124	1917
61	126	1913
62	128	1910
63	130	1907
64	132	1905
65	134	1901
66	136	1897
67	138	1894
68	140	1894
69	142	1893
70	144	1888
71	146	1886
72	148	1884
73	150	1880
74	152	1877
75	154	1875
76	156	1876
77	158	1874
78	160	1871
79	162	1866
80	164	1865
81	166	1862
82	168	1860
83	170	1858
84	172	1854
85	174	1852
86	176	1849
87	178	1848
88	180	1846
89	182	1843
90	184	1841
91	186	1836
92	187	1831
93	189	1830
94	192	1829
95	194	1827
96	196	1825
97	198	1823
98	200	1822
99	202	1819
100	204	1824
101	206	1820
102	208	1815
103	210	1813
104	212	1810
105	214	1806
106	216	1802
107	218	1801
108	220	1800
109	222	1800
110	224	1801
111	227	1801
112	229	1801
113	231	1800
114	233	1797
115	235	1796
116	238	1797
117	240	1796
118	242	1795
119	244	1792
120	246	1789
121	248	1787
122	250	1785
123	252	1785
124	254	1783
125	256	1779
126	258	1776
127	260	1774
128	262	1772
129	264	1769
130	266	1769
131	268	1767
132	270	1766
133	273	1764
134	275	1762
135	276	1759
136	278	1756
137	280	1754
138	282	1751
139	284	1750
140	287	1749
141	289	1749
142	291	1748
143	293	1745
144	295	1743
145	297	1740
146	299	1739
147	301	1736
148	303	1734
149	305	1732
150	307	1730
151	309	1727
152	311	1726
153	313	1723
154	315	1721
155	317	1718
156	319	1714
157	320	1710
158	322	1706
159	324	1703
160	326	1699
161	327	1696
162	329	1693
163	332	1692
164	334	1691
165	336	1690
166	338	1688
167	340	1686
168	342	1684
169	344	1681
170	346	1679
171	348	1677
172	350	1675
173	352	1673
174	354	1669
175	356	1667
176	358	1664
177	360	1663
178	362	1660
179	364	1658
180	366	1657
181	368	1655
182	370	1652
183	372	1650
184	373	1647
185	375	1645
186	377	1643
187	379	1641
188	381	1638
189	383	1635
190	385	1634
191	387	1630
192	389	1627
193	390	1624
194	392	1621
195	394	1619
196	396	1616
197	398	1614
198	400	1612
199	402	1609
200	404	1607
201	406	1605
202	408	1603
203	410	1601
204	412	1600
205	414	1597
206	416	1594
207	417	1591
208	420	1589
209	421	1587
210	423	1585
211	425	1583
212	428	1581
213	430	1581
214	432	1579
215	434	1577
216	436	1575
217	438	1572
218	440	1569
219	442	1567
220	444	1566
221	446	1565
222	448	1564
223	450	1561
224	452	1558
225	454	1555
226	456	1553
227	458	1551
228	459	1548
229	461	1546
230	463	1544
231	465	1541
232	467	1539
233	469	1537
234	471	1535
235	473	1532
236	475	1530
237	477	1527
238	479	1525
239	481	1523
240	483	1521
241	485	1519
242	487	1517
243	489	1516
244	491	1514
245	493	1511
246	494	1508
247	496	1506
248	498	1503
249	500	1502
250	502	1499
251	504	1497
252	506	1495
253	508	1494
254	510	1491
255	512	1488
256	514	1486
257	516	1484
258	518	1482
259	520	1480
260	522	1478
261	524	1477
262	526	1475
263	528	1473
264	530	1471
265	532	1469
266	534	1467
267	536	1465
268	538	1464
269	540	1462
270	542	1459
271	544	1457
272	546	1455
273	548	1453
274	550	1451
275	552	1449
276	555	1448
277	557	1446
278	559	1444
279	561	1442
280	563	1440
281	565	1438
282	567	1436
283	569	1435
284	571	1434
285	573	1432
286	575	1430
287	577	1428
288	579	1425
289	581	1423
290	583	1422
291	585	1420
292	587	1418
293	589	1416
294	591	1413
295	593	1412
296	595	1409
297	597	1407
298	599	1406
299	602	1404
300	604	1402
301	606	1400
302	608	1398
303	609	1396
304	612	1394
305	614	1392
306	616	1391
307	618	1389
308	620	1387
309	622	1385
310	624	1384
311	626	1382
312	628	1380
313	630	1377
314	632	1376
315	634	1374
316	637	1372
317	639	1370
318	641	1368
319	642	1366
320	644	1364
321	646	1362
322	648	1360
323	650	1358
324	652	1356
325	654	1353
326	656	1351
327	658	1349
328	660	1347
329	662	1345
330	664	1343
331	666	1341
332	668	1339
333	670	1337
334	672	1335
335	674	1332
336	676	1330
337	678	1328
338	680	1327
339	682	1325
340	684	1323
341	686	1321
342	688	1319
343	690	1317
344	692	1315
345	694	1313
346	696	1310
347	698	1308
348	700	1306
349	702	1304
350	704	1302
351	706	1300
352	708	1298
353	710	1296
354	712	1293
355	713	1291
356	716	1289
357	718	1287
358	720	1285
359	722	1283
360	724	1281
361	725	1279
362	728	1277
363	730	1276
364	732	1274
365	734	1272
366	736	1270
367	738	1268
368	740	1265
369	742	1263
370	744	1261
371	746	1260
372	748	1258
373	750	1256
374	752	1254
375	754	1251
376	755	1249
377	757	1247
378	759	1244
379	761	1242
380	763	1240
381	765	1238
382	767	1236
383	769	1233
384	771	1231
385	772	1229
386	774	1227
387	777	1225
388	779	1223
389	781	1221
390	783	1219
391	785	1217
392	786	1215
393	788	1213
394	790	1211
395	793	1209
396	795	1207
397	796	1205
398	798	1203
399	800	1201
400	802	1199
401	804	1197
402	807	1195
403	809	1193
404	811	1191
405	813	1190
406	815	1188
407	817	1186
408	819	1184
409	821	1182
410	823	1180
411	825	1178
412	827	1176
413	829	1174
414	831	1172
415	833	1169
416	835	1167
417	837	1166
418	839	1164
419	842	1162
420	843	1160
421	845	1158
422	847	1156
423	849	1154
424	851	1152
425	853	1150
426	856	1148
427	858	1146
428	860	1145
429	862	1143
430	864	1140
431	865	1138
432	867	1136
433	869	1134
434	871	1132
435	873	1130
436	875	1128
437	877	1126
438	879	1123
439	881	1122
440	883	1120
441	885	1118
442	887	1116
443	890	1114
444	892	1112
445	894	1110
446	896	1108
447	898	1106
448	900	1104
449	902	1102
450	904	1100
451	906	1098
452	908	1096
453	910	1094
454	911	1092
455	913	1090
456	915	1088
457	918	1086
458	920	1084
459	922	1082
460	924	1080
461	926	1078
462	928	1077
463	930	1074
464	932	1072
465	934	1070
466	936	1068
467	938	1067
468	940	1065
469	942	1063
470	945	1061
471	947	1059
472	949	1057
473	951	1056
474	954	1054
475	956	1052
476	958	1050
477	960	1049
478	962	1047
479	970	1051
480	972	1049
481	974	1047
482	980	1049
483	983	1048
484	985	1046
485	988	1045
486	991	1044
487	994	1043
488	997	1042
489	1000	1040
490	1002	1039
491	1005	1038
492	1008	1036
493	1011	1035
494	1014	1034
495	1017	1033
496	1019	1031
497	1021	1029
498	1024	1028
499	1026	1026
500	1028	1024
501	1031	1023
502	1034	1022
503	1037	1020
504	1039	1018
505	1041	1017
506	1043	1014
507	1046	1013
508	1048	1011
509	1050	1009
510	1052	1007
511	1054	1005
512	1056	1003
513	1058	1001
514	1060	999
515	1062	996
516	1065	995
517	1067	993
518	1069	990
519	1071	988
520	1073	986
521	1075	984
522	1077	982
523	1079	980
524	1081	978
525	1083	975
526	1084	973
527	1086	971
528	1088	969
529	1090	967
530	1092	965
531	1094	963
532	1096	960
533	1098	958
534	1100	956
535	1102	954
536	1104	951
537	1105	949
538	1107	947
539	1110	945
540	1111	943
541	1113	941
542	1115	939
543	1117	936
544	1119	934
545	1121	932
546	1123	930
547	1125	928
548	1127	926
549	1129	924
550	1131	921
551	1133	919
552	1134	917
553	1136	915
554	1138	912
555	1140	910
556	1142	908
557	1144	906
558	1146	904
559	1148	902
560	1150	900
561	1152	898
562	1154	895
563	1156	893
564	1158	891
565	1160	889
566	1162	887
567	1163	885
568	1165	882
569	1167	880
570	1169	878
571	1171	876
572	1173	874
573	1175	872
574	1177	870
575	1179	868
576	1181	865
577	1183	863
578	1185	861
579	1186	859
580	1188	857
581	1191	855
582	1192	853
583	1194	851
584	1196	848
585	1198	846
586	1200	844
587	1202	842
588	1204	840
589	1206	838
590	1208	836
591	1210	834
592	1212	832
593	1214	830
594	1216	828
595	1218	825
596	1220	823
597	1222	822
598	1224	820
599	1226	817
600	1228	815
601	1230	813
602	1232	811
603	1234	809
604	1236	807
605	1238	805
606	1241	803
607	1243	801
608	1245	799
609	1246	797
610	1248	795
611	1250	793
612	1253	791
613	1255	789
614	1258	787
615	1260	785
616	1262	783
617	1264	781
618	1266	779
619	1268	777
620	1270	775
621	1272	773
622	1274	771
623	1276	769
624	1278	767
625	1280	764
626	1282	762
627	1284	760
628	1286	758
629	1288	756
630	1290	754
631	1292	752
632	1294	750
633	1296	748
634	1298	746
635	1300	744
636	1302	742
637	1304	740
638	1306	738
639	1308	735
640	1310	733
641	1312	731
642	1314	729
643	1316	727
644	1318	725
645	1320	723
646	1322	721
647	1324	719
648	1326	717
649	1328	715
650	1330	713
651	1332	710
652	1334	709
653	1336	706
654	1338	704
655	1340	702
656	1342	700
657	1344	698
658	1346	696
659	1347	694
660	1350	692
661	1352	690
662	1354	688
663	1356	686
664	1358	684
665	1360	682
666	1362	680
667	1364	678
668	1366	676
669	1368	674
670	1370	671
671	1372	669
672	1374	667
673	1376	665
674	1378	663
675	1379	661
676	1382	659
677	1384	657
678	1386	655
679	1388	653
680	1390	651
681	1392	649
682	1394	647
683	1395	644
684	1398	642
685	1400	641
686	1402	638
687	1404	636
688	1405	634
689	1408	632
690	1409	630
691	1411	628
692	1413	626
693	1415	624
694	1418	622
695	1419	620
696	1421	618
697	1424	616
698	1426	614
699	1428	612
700	1430	610
701	1432	608
702	1435	606
703	1437	604
704	1439	602
705	1441	600
706	1443	598
707	1446	596
708	1448	594
709	1450	592
710	1452	590
711	1454	588
712	1456	586
713	1458	584
714	1460	582
715	1463	580
716	1465	578
717	1467	576
718	1469	574
719	1471	572
720	1472	569
721	1474	567
722	1476	565
723	1478	563
724	1480	561
725	1482	559
726	1484	557
727	1486	555
728	1488	553
729	1490	551
730	1492	549
731	1494	547
732	1496	545
733	1498	543
734	1500	540
735	1502	538
736	1504	536
737	1506	534
738	1508	532
739	1510	530
740	1512	528
741	1514	526
742	1516	524
743	1518	522
744	1520	520
745	1522	518
746	1523	516
747	1526	514
748	1528	512
749	1530	510
750	1532	508
751	1534	505
752	1536	503
753	1538	501
754	1539	499
