iter	Passed	Remaining
0	14	15005
1	30	15858
2	48	16663
3	61	15852
4	79	16362
5	94	16200
6	110	16255
7	123	15882
8	141	16226
9	156	16146
10	172	16145
11	187	16077
12	205	16207
13	220	16179
14	237	16195
15	253	16227
16	275	16605
17	293	16662
18	311	16713
19	329	16811
20	348	16920
21	368	17043
22	388	17181
23	425	18008
24	442	17952
25	457	17832
26	476	17893
27	492	17798
28	509	17749
29	524	17665
30	542	17646
31	557	17571
32	573	17498
33	588	17425
34	607	17441
35	623	17379
36	640	17362
37	656	17322
38	673	17291
39	693	17339
40	710	17318
41	727	17296
42	744	17270
43	759	17196
44	774	17126
45	790	17079
46	808	17076
47	822	17002
48	837	16942
49	853	16896
50	870	16882
51	885	16825
52	902	16810
53	917	16745
54	933	16720
55	949	16685
56	964	16638
57	981	16624
58	1001	16654
59	1018	16634
60	1034	16607
61	1051	16585
62	1070	16595
63	1084	16544
64	1101	16525
65	1123	16575
66	1143	16605
67	1159	16577
68	1174	16526
69	1193	16533
70	1210	16517
71	1226	16484
72	1240	16437
73	1257	16421
74	1274	16397
75	1289	16351
76	1304	16320
77	1321	16300
78	1336	16260
79	1352	16229
80	1368	16204
81	1386	16203
82	1402	16172
83	1417	16133
84	1433	16101
85	1449	16077
86	1467	16072
87	1482	16038
88	1497	16005
89	1515	15993
90	1535	16012
91	1552	15997
92	1572	16009
93	1590	16002
94	1605	15966
95	1621	15940
96	1636	15908
97	1654	15900
98	1668	15860
99	1683	15822
100	1698	15789
101	1715	15776
102	1738	15812
103	1755	15801
104	1773	15791
105	1790	15777
106	1806	15749
107	1821	15721
108	1836	15689
109	1857	15705
110	1873	15681
111	1889	15658
112	1905	15634
113	1923	15621
114	1937	15584
115	1953	15560
116	1967	15521
117	1985	15513
118	2001	15487
119	2016	15461
120	2031	15432
121	2047	15407
122	2062	15375
123	2078	15352
124	2092	15317
125	2107	15285
126	2124	15270
127	2139	15244
128	2155	15220
129	2170	15193
130	2188	15183
131	2202	15152
132	2217	15125
133	2233	15097
134	2254	15113
135	2269	15088
136	2284	15060
137	2299	15032
138	2318	15025
139	2334	15005
140	2350	14985
141	2364	14955
142	2385	14962
143	2401	14940
144	2417	14921
145	2432	14896
146	2450	14887
147	2464	14856
148	2481	14836
149	2495	14807
150	2512	14789
151	2527	14763
152	2543	14742
153	2562	14742
154	2581	14741
155	2596	14711
156	2612	14690
157	2636	14715
158	2659	14733
159	2676	14721
160	2692	14697
161	2710	14692
162	2726	14669
163	2741	14642
164	2756	14615
165	2775	14611
166	2790	14588
167	2811	14595
168	2828	14579
169	2845	14564
170	2860	14538
171	2877	14520
172	2892	14496
173	2925	14562
174	2942	14543
175	2959	14528
176	2979	14529
177	2994	14502
178	3010	14480
179	3026	14461
180	3044	14450
181	3059	14422
182	3074	14399
183	3093	14392
184	3110	14374
185	3125	14348
186	3141	14328
187	3156	14304
188	3174	14293
189	3188	14265
190	3204	14242
191	3219	14218
192	3236	14202
193	3250	14176
194	3268	14162
195	3284	14141
196	3302	14131
197	3317	14107
198	3333	14085
199	3347	14057
200	3363	14039
201	3379	14018
202	3394	13994
203	3409	13970
204	3424	13948
205	3441	13932
206	3458	13915
207	3472	13889
208	3488	13869
209	3505	13855
210	3521	13834
211	3537	13816
212	3553	13796
213	3570	13780
214	3585	13757
215	3600	13735
216	3615	13710
217	3633	13699
218	3648	13678
219	3665	13660
220	3679	13636
221	3696	13621
222	3713	13605
223	3729	13584
224	3743	13561
225	3761	13547
226	3775	13522
227	3790	13501
228	3805	13477
229	3821	13458
230	3836	13437
231	3852	13415
232	3867	13396
233	3887	13391
234	3907	13385
235	3924	13370
236	3939	13346
237	3956	13332
238	3972	13312
239	3987	13290
240	4001	13265
241	4015	13241
242	4036	13238
243	4053	13222
244	4067	13199
245	4084	13183
246	4102	13169
247	4118	13151
248	4131	13124
249	4146	13103
250	4162	13085
251	4176	13060
252	4192	13040
253	4207	13020
254	4224	13005
255	4240	12986
256	4254	12963
257	4269	12942
258	4286	12925
259	4301	12903
260	4316	12882
261	4331	12861
262	4350	12853
263	4367	12837
264	4383	12820
265	4397	12796
266	4413	12778
267	4431	12764
268	4448	12750
269	4462	12727
270	4478	12709
271	4495	12692
272	4511	12675
273	4527	12655
274	4541	12634
275	4558	12617
276	4573	12598
277	4589	12579
278	4605	12561
279	4622	12546
280	4638	12529
281	4653	12509
282	4668	12488
283	4686	12474
284	4700	12452
285	4716	12433
286	4731	12414
287	4751	12406
288	4767	12388
289	4783	12369
290	4799	12354
291	4817	12341
292	4834	12324
293	4853	12314
294	4880	12324
295	4895	12305
296	4912	12288
297	4926	12266
298	4945	12255
299	4964	12245
300	4981	12229
301	4996	12210
302	5015	12199
303	5030	12179
304	5045	12159
305	5061	12141
306	5079	12128
307	5094	12107
308	5110	12089
309	5124	12067
310	5141	12052
311	5157	12034
312	5173	12016
313	5187	11994
314	5203	11977
315	5219	11959
316	5237	11945
317	5251	11922
318	5267	11905
319	5283	11888
320	5299	11869
321	5314	11850
322	5330	11831
323	5347	11816
324	5363	11799
325	5379	11781
326	5395	11763
327	5413	11751
328	5430	11736
329	5446	11717
