iter	Passed	Remaining
0	16	16654
1	30	15986
2	47	16555
3	62	16184
4	79	16402
5	95	16478
6	112	16602
7	130	16812
8	147	16896
9	163	16866
10	183	17179
11	202	17305
12	219	17354
13	235	17284
14	256	17517
15	273	17526
16	290	17488
17	307	17436
18	325	17514
19	342	17489
20	361	17530
21	378	17536
22	397	17567
23	414	17564
24	431	17501
25	448	17475
26	468	17588
27	486	17579
28	504	17572
29	523	17622
30	559	18211
31	580	18299
32	599	18286
33	619	18342
34	636	18273
35	654	18259
36	673	18254
37	690	18205
38	706	18141
39	724	18105
40	741	18068
41	761	18105
42	780	18108
43	801	18131
44	818	18098
45	834	18033
46	852	18001
47	868	17953
48	887	17958
49	905	17924
50	924	17932
51	942	17914
52	960	17887
53	979	17883
54	1001	17930
55	1021	17952
56	1040	17952
57	1060	17950
58	1078	17933
59	1095	17893
60	1115	17903
61	1135	17909
62	1155	17918
63	1174	17910
64	1195	17928
65	1214	17929
66	1232	17904
67	1252	17903
68	1273	17915
69	1291	17891
70	1310	17890
71	1329	17874
72	1347	17849
73	1364	17816
74	1383	17800
75	1401	17773
76	1419	17757
77	1437	17723
78	1455	17704
79	1476	17716
80	1493	17678
81	1510	17643
82	1528	17618
83	1545	17593
84	1562	17550
85	1580	17537
86	1598	17509
87	1615	17475
88	1631	17438
89	1650	17419
90	1669	17410
91	1686	17378
92	1703	17349
93	1722	17338
94	1741	17319
95	1757	17280
96	1776	17266
97	1795	17259
98	1818	17282
99	1837	17274
100	1856	17255
101	1874	17242
102	1891	17210
103	1910	17193
104	1930	17186
105	1948	17168
106	1967	17152
107	1986	17145
108	2004	17117
109	2021	17092
110	2039	17070
111	2057	17044
112	2076	17031
113	2092	16998
114	2110	16979
115	2129	16959
116	2147	16944
117	2166	16926
118	2187	16926
119	2206	16918
120	2224	16898
121	2243	16881
122	2261	16857
123	2278	16833
124	2295	16803
125	2313	16780
126	2332	16764
127	2349	16742
128	2367	16718
129	2385	16696
130	2402	16670
131	2418	16636
132	2436	16612
133	2452	16583
134	2469	16556
135	2485	16523
136	2503	16499
137	2520	16475
138	2538	16455
139	2555	16425
140	2573	16405
141	2592	16391
142	2609	16365
143	2625	16337
144	2643	16315
145	2661	16295
146	2677	16264
147	2695	16245
148	2719	16261
149	2737	16241
150	2754	16217
151	2771	16190
152	2798	16221
153	2817	16207
154	2834	16183
155	2851	16159
156	2868	16134
157	2884	16103
158	2901	16078
159	2919	16056
160	2939	16045
161	2955	16016
162	2972	15990
163	2994	15993
164	3010	15964
165	3028	15944
166	3046	15923
167	3064	15904
168	3081	15882
169	3100	15867
170	3120	15857
171	3136	15829
172	3154	15808
173	3171	15786
174	3191	15774
175	3208	15751
176	3225	15728
177	3243	15706
178	3262	15693
179	3279	15670
180	3298	15654
181	3318	15642
182	3335	15619
183	3353	15599
184	3370	15577
185	3389	15563
186	3405	15535
187	3422	15510
188	3439	15487
189	3457	15468
190	3473	15441
191	3491	15420
192	3509	15401
193	3526	15379
194	3543	15356
195	3561	15337
196	3580	15320
197	3601	15314
198	3618	15291
199	3634	15264
200	3654	15254
201	3670	15228
202	3687	15204
203	3704	15181
204	3722	15161
205	3738	15135
206	3755	15111
207	3773	15092
208	3795	15091
209	3813	15071
210	3830	15049
211	3848	15032
212	3865	15008
213	3882	14986
214	3898	14961
215	3917	14943
216	3934	14922
217	3951	14899
218	3967	14874
219	3986	14859
220	4004	14839
221	4021	14818
222	4037	14793
223	4058	14783
224	4076	14765
225	4096	14752
226	4116	14744
227	4134	14726
228	4152	14704
229	4168	14681
230	4190	14675
231	4207	14652
232	4224	14632
233	4241	14611
234	4259	14590
235	4275	14565
236	4291	14541
237	4310	14524
238	4329	14510
239	4346	14489
240	4362	14464
241	4382	14450
242	4398	14425
243	4417	14410
244	4433	14385
245	4452	14371
246	4470	14353
247	4490	14339
248	4507	14319
249	4525	14302
250	4542	14279
251	4558	14253
252	4577	14238
253	4593	14214
254	4611	14195
255	4626	14170
256	4645	14154
257	4663	14134
258	4680	14114
259	4696	14088
260	4717	14079
261	4734	14058
262	4752	14040
263	4770	14023
264	4791	14011
265	4808	13990
266	4826	13971
267	4846	13960
268	4865	13943
269	4882	13923
270	4898	13900
271	4918	13888
272	4937	13870
273	4956	13857
274	4982	13859
275	5001	13844
276	5024	13840
277	5057	13861
278	5074	13840
279	5090	13817
280	5110	13803
281	5126	13779
282	5144	13762
283	5163	13745
284	5185	13737
285	5202	13715
286	5219	13694
287	5238	13677
288	5255	13656
289	5274	13641
290	5290	13618
291	5309	13602
292	5326	13580
293	5344	13560
294	5360	13536
295	5382	13528
296	5398	13504
297	5414	13480
298	5432	13463
299	5449	13442
300	5467	13424
301	5483	13400
302	5501	13382
303	5519	13362
304	5536	13341
305	5552	13317
306	5570	13299
307	5587	13279
308	5605	13260
309	5621	13237
310	5641	13223
311	5660	13206
312	5678	13189
313	5696	13170
314	5714	13151
315	5731	13131
316	5748	13110
317	5766	13093
318	5784	13073
319	5800	13051
320	5816	13028
321	5834	13010
322	5851	12989
323	5872	12977
324	5889	12956
325	5909	12942
326	5926	12922
327	5945	12905
328	5966	12894
329	5989	12885
330	6007	12867
331	6024	12846
332	6045	12835
333	6079	12849
334	6099	12835
335	6117	12817
336	6136	12800
337	6154	12781
338	6174	12768
339	6192	12748
340	6210	12731
